predictor,outcome,PPMC,pval,PPMC_abs
CTXD_29-33_5_AnsVal,SF-36_30,0.4291500632,2.01571453816098E-032,0.4291500632
GAD7_5F,SF-36_23,0.428616839,1.80258608112168E-032,0.428616839
FSI_9-11_2_AnsText,SF-36_36,0.4249298106,9.33528999585273E-032,0.4249298106
CTXD_39-43_5_AnsVal,SF-36_23,0.4248620305,7.08160802930184E-032,0.4248620305
MW_7-10_1_AnsVal,SF-36_26,0.4231542688,2.15628741927259E-031,0.4231542688
ISQ_12-15_4_AnsVal,SF-36_27,0.4228174365,2.96818588846414E-019,0.4228174365
FSI_1-4_4_AnsText,SF-36_23,0.4226698508,2.32168856269543E-031,0.4226698508
SF-36_1,SF-36_26,0.4225843704,1.08359535418751E-031,0.4225843704
PHQ_2A-D_4_AnsVal,SF-36_36,0.4222131977,2.24255608983342E-031,0.4222131977
ISQ_2-7_5_AnsVal,SF-36_23,0.4207556967,1.11060756881698E-030,0.4207556967
GH_M_60-64_6,SF-36_29,0.4201989128,4.73422826140385E-008,0.4201989128
RH_M_9G_L_6_AnsVal,SF-36_7,0.4198378083,0.0021622297,0.4198378083
CTXD_39-43_4_AnsVal,SF-36_26,0.4198170784,5.26830757641319E-031,0.4198170784
CTXD_29-33_4_AnsVal,SF-36_23,0.4173618235,1.67600638717059E-030,0.4173618235
FSI_9-11_2_AnsText,SF-36_26,0.4169385717,1.45659561203718E-030,0.4169385717
CTXD_50-54_2_AnsVal,SF-36_23,0.4165875682,2.93163989541901E-030,0.4165875682
SF-36_32,SF-36_3,0.4164860568,1.16325686681408E-030,0.4164860568
CTXD_39-43_5_AnsVal,SF-36_30,0.4161843628,1.42404271967085E-030,0.4161843628
CTXD_29-33_5_AnsVal,SF-36_23,0.4151433539,3.00618058733256E-030,0.4151433539
MW_11-14_1_AnsVal,SF-36_26,0.4148935733,2.4652733772271E-030,0.4148935733
CTXD_39-43_5_AnsVal,SF-36_27,0.4142737406,2.78507379946136E-030,0.4142737406
PHQ_2E-H_3_AnsVal,SF-36_26,0.4136362727,6.13700538194405E-030,0.4136362727
MW_19-23_2_AnsVal,SF-36_23,0.4134393093,5.97785279361797E-030,0.4134393093
FSI_15,SF-36_36,0.4123619694,5.95980025904169E-030,0.4123619694
CTXD_24-28_2_AnsVal,SF-36_30,0.4122125346,9.1359802850409E-030,0.4122125346
CTXD_24-28_3_AnsVal,SF-36_36,0.4120207639,1.07199061386102E-029,0.4120207639
